latitude,longitude,km
-34.60862702,-58.41169556,432
-34.60862751,-58.41170644,433
-34.60862799,-58.41171732,434
-34.60862845,-58.4117282,435
-34.60862891,-58.41173906,436
-34.60862939,-58.41174993,437
-34.60862988,-58.41176079,438
-34.60863036,-58.41177165,439
-34.60863087,-58.41178251,440
-34.60863136,-58.41179338,441
-34.6086312,-58.41180423,442
-34.6086309,-58.41179337,443
-34.60863049,-58.4117825,444
-34.60863009,-58.41177163,445
-34.6086297,-58.41176076,446
-34.60862933,-58.4117499,447
-34.60862977,-58.41173905,448
-34.60863024,-58.41174991,449
-34.60863077,-58.41176076,450
-34.60863123,-58.41177162,451
-34.60863178,-58.41178248,452
-34.60863225,-58.41179334,453
-34.60863277,-58.41180421,454
-34.60863331,-58.41181508,455
-34.60863372,-58.41182596,456
-34.60863425,-58.41183683,457
-34.60863476,-58.41184771,458
-34.60863518,-58.41185859,459
-34.60863575,-58.41186947,460
-34.60863639,-58.41188035,461
-34.60863707,-58.41189121,462
-34.60863783,-58.41190207,463
-34.60863851,-58.41191293,464
-34.60863912,-58.41192378,465
-34.6086398,-58.41193464,466
-34.60864049,-58.41194549,467
-34.60864108,-58.41195636,468
-34.60864163,-58.41196724,469
-34.60864223,-58.41197812,470
-34.60864282,-58.41198901,471
-34.60864333,-58.41199991,472
-34.60864383,-58.41201083,473
-34.60864438,-58.41202173,474
-34.6086449,-58.41203265,475
-34.60864537,-58.41204356,476
-34.60864589,-58.41205447,477
-34.60864645,-58.41206537,478
-34.60864694,-58.41207626,479
-34.60864743,-58.41208715,480
-34.608648,-58.41209801,481
-34.60864851,-58.41210888,482
-34.60864896,-58.41211974,483
-34.6086495,-58.4121306,484
-34.60865004,-58.41214146,485
-34.6086505,-58.41215234,486
-34.60865101,-58.41216322,487
-34.6086516,-58.41217409,488
-34.6086521,-58.41218497,489
-34.6086526,-58.41219585,490
-34.6086532,-58.41220673,491
-34.60865373,-58.41221762,492
-34.60865422,-58.41222851,493
-34.60865477,-58.4122394,494
-34.60865532,-58.4122503,495
-34.60865578,-58.41226121,496
-34.60865627,-58.41227211,497
-34.60865681,-58.41228299,498
-34.60865727,-58.41229388,499
-34.60865774,-58.41230475,500
-34.60865827,-58.41231563,501
-34.60865877,-58.41232651,502
-34.60865923,-58.4123374,503
-34.60865977,-58.41234828,504
-34.60866031,-58.41235916,505
-34.60866077,-58.41237003,506
-34.6086613,-58.4123809,507
-34.60866184,-58.41239177,508
-34.60866231,-58.41240265,509
-34.60866279,-58.41241355,510
-34.60866333,-58.41242445,511
-34.60866382,-58.41243534,512
-34.60866429,-58.41244625,513
-34.60866483,-58.41245713,514
-34.60866535,-58.41246801,515
-34.6086658,-58.41247889,516
-34.60866631,-58.41248977,517
-34.60866684,-58.41250066,518
-34.60866729,-58.41251155,519
-34.60866778,-58.41252244,520
-34.60866832,-58.41253332,521
-34.60866878,-58.41254419,522
-34.60866924,-58.41255508,523
-34.60866978,-58.41256594,524
-34.60867028,-58.41257683,525
-34.60867078,-58.41258771,526
-34.60867134,-58.4125986,527
-34.60867189,-58.41260949,528
-34.6086724,-58.41262038,529
-34.60867296,-58.41263127,530
-34.60867354,-58.41264216,531
-34.60867405,-58.41265305,532
-34.60867459,-58.41266394,533
-34.60867517,-58.41267483,534
-34.60867569,-58.41268573,535
-34.60867619,-58.41269662,536
-34.60867674,-58.41270752,537
-34.60867725,-58.41271842,538
-34.60867774,-58.41272931,539
-34.60867828,-58.4127402,540
-34.60867882,-58.41275108,541
-34.60867931,-58.41276196,542
-34.60867986,-58.41277283,543
-34.60868042,-58.41278371,544
-34.60868093,-58.41279459,545
-34.60868145,-58.41280546,546
-34.60868201,-58.41281634,547
-34.60868251,-58.41282721,548
-34.60868299,-58.41283809,549
-34.60868351,-58.41284896,550
-34.60868397,-58.41285983,551
-34.60868441,-58.4128707,552
-34.6086849,-58.41288158,553
-34.60868537,-58.41289245,554
-34.60868577,-58.41290334,555
-34.60868622,-58.41291421,556
-34.60868667,-58.41292508,557
-34.60868703,-58.41293595,558
-34.60868744,-58.41294683,559
-34.60868783,-58.41295771,560
-34.60868814,-58.41296859,561
-34.60868842,-58.41297948,562
-34.60868873,-58.41299037,563
-34.60868898,-58.41300125,564
-34.60868916,-58.41301214,565
-34.60868937,-58.41302302,566
-34.60868956,-58.41303391,567
-34.60868967,-58.4130448,568
-34.60868976,-58.4130557,569
-34.60868988,-58.41306659,570
-34.60868993,-58.41307749,571
-34.60868991,-58.41308838,572
-34.60868993,-58.41309927,573
-34.60868988,-58.41311015,574
-34.60868976,-58.41312105,575
-34.60868964,-58.41313194,576
-34.60868953,-58.41314284,577
-34.60868935,-58.41315374,578
-34.60868915,-58.41316463,579
-34.60868898,-58.41317552,580
-34.60868876,-58.41318641,581
-34.60868848,-58.4131973,582
-34.6086882,-58.4132082,583
-34.60868793,-58.4132191,584
-34.60868756,-58.41323,585
-34.60868714,-58.41324089,586
-34.60868674,-58.41325178,587
-34.60868631,-58.41326267,588
-34.60868585,-58.41327356,589
-34.60868541,-58.41328445,590
-34.60868502,-58.41329535,591
-34.60868459,-58.41330626,592
-34.60868415,-58.41331716,593
-34.60868377,-58.41332806,594
-34.60868338,-58.41333895,595
-34.60868294,-58.41334984,596
-34.60868252,-58.41336072,597
-34.60868214,-58.41337162,598
-34.60868172,-58.41338251,599
-34.60868127,-58.4133934,600
-34.60868086,-58.4134043,601
-34.60868048,-58.41341519,602
-34.60868006,-58.41342608,603
-34.60867963,-58.41343697,604
-34.60867926,-58.41344786,605
-34.60867888,-58.41345874,606
-34.60867845,-58.41346963,607
-34.60867805,-58.41348052,608
-34.60867768,-58.41349141,609
-34.60867726,-58.4135023,610
-34.6086768,-58.41351319,611
-34.60867635,-58.41352407,612
-34.60867593,-58.41353495,613
-34.6086755,-58.41354584,614
-34.60867507,-58.41355673,615
-34.6086747,-58.41356763,616
-34.60867432,-58.41357853,617
-34.60867389,-58.41358943,618
-34.60867348,-58.41360033,619
-34.60867309,-58.41361124,620
-34.60867267,-58.41362214,621
-34.6086722,-58.41363303,622
-34.60867177,-58.41364393,623
-34.60867138,-58.41365484,624
-34.60867094,-58.41366573,625
-34.60867049,-58.41367664,626
-34.60867012,-58.41368754,627
-34.60866975,-58.41369843,628
-34.60866933,-58.41370932,629
-34.60866893,-58.4137202,630
-34.60866857,-58.41373109,631
-34.60866818,-58.41374198,632
-34.60866772,-58.41375286,633
-34.60866729,-58.41376374,634
-34.6086669,-58.41377462,635
-34.60866647,-58.4137855,636
-34.60866601,-58.41379637,637
-34.60866565,-58.41380726,638
-34.60866556,-58.41381816,639
-34.6086656,-58.41382906,640
-34.60866568,-58.41383996,641
-34.60866568,-58.41385087,642
-34.60866549,-58.41386177,643
-34.60866515,-58.41387267,644
-34.60866475,-58.41388357,645
-34.60866434,-58.41389447,646
-34.60866393,-58.41390537,647
-34.60866352,-58.41391627,648
-34.60866308,-58.41392716,649
-34.60866265,-58.41393805,650
-34.60866222,-58.41394893,651
-34.60866179,-58.41395981,652
-34.60866137,-58.4139707,653
-34.60866095,-58.41398157,654
-34.60866054,-58.41399246,655
-34.60866013,-58.41400334,656
-34.60865971,-58.41401422,657
-34.60865929,-58.41402511,658
-34.60865887,-58.414036,659
-34.60865845,-58.41404689,660
-34.60865803,-58.41405779,661
-34.60865761,-58.41406868,662
-34.6086572,-58.41407958,663
-34.6086568,-58.41409047,664
-34.6086564,-58.41410138,665
-34.60865602,-58.41411228,666
-34.60865563,-58.41412318,667
-34.60865523,-58.41413408,668
-34.60865483,-58.41414497,669
-34.60865441,-58.41415587,670
-34.60865399,-58.41416676,671
-34.60865356,-58.41417765,672
-34.6086531,-58.41418854,673
-34.60865256,-58.41419943,674
-34.60865179,-58.41421029,675
-34.60865109,-58.41422116,676
-34.60865069,-58.41423205,677
-34.60865028,-58.41424294,678
-34.60864987,-58.41425384,679
-34.60864949,-58.41426474,680
-34.60864911,-58.41427563,681
-34.6086487,-58.41428653,682
-34.60864829,-58.41429742,683
-34.60864787,-58.41430831,684
-34.60864746,-58.4143192,685
-34.60864705,-58.41433008,686
-34.60864664,-58.41434098,687
-34.60864624,-58.41435187,688
-34.60864584,-58.41436276,689
-34.60864543,-58.41437365,690
-34.60864502,-58.41438453,691
-34.60864459,-58.41439542,692
-34.60864416,-58.41440631,693
-34.60864371,-58.41441719,694
-34.60864324,-58.41442807,695
-34.60864274,-58.41443896,696
-34.60864223,-58.41444984,697
-34.6086417,-58.41446073,698
-34.60864116,-58.41447162,699
-34.60864061,-58.4144825,700
-34.60864016,-58.41449338,701
-34.60863984,-58.41450426,702
-34.60863953,-58.41451515,703
-34.60863919,-58.41452605,704
-34.60863882,-58.41453696,705
-34.60863837,-58.41454786,706
-34.60863787,-58.41455876,707
-34.60863733,-58.41456965,708
-34.60863705,-58.41458055,709
-34.60863702,-58.41459146,710
-34.60863687,-58.41460236,711
-34.60863655,-58.41461327,712
-34.60863625,-58.41462418,713
-34.60863599,-58.41463509,714
-34.6086357,-58.414646,715
-34.60863537,-58.41465689,716
-34.60863506,-58.41466778,717
-34.6086348,-58.41467868,718
-34.60863455,-58.41468957,719
-34.60863426,-58.41470047,720
-34.608634,-58.41471137,721
-34.60863379,-58.41472227,722
-34.60863358,-58.41473317,723
-34.60863337,-58.41474408,724
-34.60863316,-58.41475498,725
-34.608633,-58.41476588,726
-34.60863285,-58.41477679,727
-34.6086327,-58.41478769,728
-34.60863254,-58.4147986,729
-34.60863243,-58.4148095,730
-34.60863234,-58.41482041,731
-34.60863223,-58.41483131,732
-34.60863214,-58.41484222,733
-34.60863209,-58.41485312,734
-34.60863206,-58.41486403,735
-34.60863203,-58.41487494,736
-34.60863202,-58.41488585,737
-34.60863204,-58.41489675,738
-34.6086321,-58.41490766,739
-34.60863215,-58.41491856,740
-34.6086322,-58.41492947,741
